News Headlines
1M context is now generally available for Opus 4.6 and Sonnet 4.6 (claude.com)
A Survival Guide to a PhD (2016) (karpathy.github.io)
You gotta think outside the hypercube (lcamtuf.substack.com)
Qatar helium shutdown puts chip supply chain on a two-week clock (tomshardware.com)
Show HN: Channel Surfer – Watch YouTube like it’s cable TV (channelsurfer.tv)
Recursive Problems Benefit from Recursive Solutions (jnkr.tech)
Emacs and Vim in the Age of AI (batsov.com)
The Isolation Trap: Erlang (causality.blog)
Mouser: An open source alternative to Logi-Plus mouse software (github.com/tombadash)
Hammerspoon (github.com/hammerspoon)
I found 39 Algolia admin keys exposed across open source documentation sites (benzimmermann.dev)
Wired headphone sales are exploding (bbc.com)
Atari 2600 BASIC Programming (2015) (huguesjohnson.com)
Can I run AI locally? (canirun.ai)
Parallels confirms MacBook Neo can run Windows in a virtual machine (macrumors.com)
AEP (API Design Standard and Tooling Ecosystem) (aep.dev)
Optimizing Content for Agents (cra.mr)
Digg is gone again (digg.com)
Games with loot boxes to get minimum 16 age rating across Europe (bbc.com)
"I beg you to follow Crocker's Rules, even if you will be rude to me (lr0.org)"
New 'negative light' technology hides data transfers in plain sight (unsw.edu.au)
Coding after coders: The end of computer programming as we know it? (nytimes.com)
Elon Musk pushes out more xAI founders as AI coding effort falters (ft.com)
Using Thunderbird for RSS (rubenerd.com)
Our Experience with I-Ready (moultano.wordpress.com)
Stanford researchers report first recording of a blue whale's heart rate (2019) (stanford.edu)
Launch HN: Spine Swarm (YC S23) – AI agents that collaborate on a visual canvas (getspine.ai)
Show HN: Context Gateway – Compress agent context before it hits the LLM (github.com/compresr-ai)
The Wyden Siren Goes Off Again: We’ll Be “Stunned” By What the NSA Is Doing (techdirt.com)
Your phone is an entire computer (medhir.com)
